S_0,K,T,vol,r_f,dt,tc,A,mean,stdev
100,100,1,0.05,0.05,0.02,1,0.5,-82,1.3
100,100,1,0.05,0.05,0.02,1,0,-82.5,1.3
100,100,1,0.05,0.05,0.02,1,1,-81.7,1.4
100,100,1,0.05,0.05,0.02,1,2,-81,1.4
100,100,1,0.05,0.05,0.02,0,0,-81.7,1.4
100,100,1,0.05,0.05,0.02,0,1,-81,1.4
,,,,,,,,,
100,100,10,0.05,0.05,0.02,0,1,-77.6,11.3
100,100,10,0.05,0.05,0.02,0,0,-78.8,11.4
100,100,10,0.05,0.05,0.02,1,0,-79.6,11.3
100,100,10,0.05,0.05,0.02,1,1,-78.6,12
100,100,10,0.05,0.05,0.02,1,2,-77.5,11.4
100,100,10,0.05,0.05,0.02,2,2,-78.5,11.5
100,100,10,0.05,0.05,0.02,2,0,-80.6,11.4
100,100,10,0.05,0.05,0.02,2,-1,-81.6,11.4
100,100,10,0.05,0.05,0.02,1,-1,-80.5,11.5
100,100,10,0.05,0.05,0.02,0,-1,-79.6,11.4
